,is_verified,timestamp,face_path,eye_state,head_yaw,head_pitch
0,True,2025-04-01T09:51:14.056781,faces\face_1743481274056.jpg,1,2.29,-170.29
1,True,2025-04-01T09:51:17.261808,faces\face_1743481277261.jpg,1,11.16,-170.65
2,True,2025-04-01T09:51:19.175424,faces\face_1743481279175.jpg,1,-24.96,176.6
3,True,2025-04-01T09:51:20.905521,faces\face_1743481280905.jpg,1,-2.6,-169.63
4,True,2025-04-01T09:51:22.506217,faces\face_1743481282506.jpg,1,4.35,-173.86
5,True,2025-04-01T09:51:24.127762,faces\face_1743481284127.jpg,1,-1.88,-173.24
6,True,2025-04-01T09:51:25.730369,faces\face_1743481285730.jpg,0,-2.07,-174.65
7,True,2025-04-01T09:51:27.331588,faces\face_1743481287331.jpg,1,25.04,-168.69
8,True,2025-04-01T09:51:28.919909,faces\face_1743481288919.jpg,1,-22.85,-170.55
9,True,2025-04-01T09:51:30.526973,faces\face_1743481290526.jpg,1,14.35,-173.9
10,True,2025-04-01T09:51:33.532231,faces\face_1743481293532.jpg,1,13.11,-172.12
11,True,2025-04-01T09:51:35.096065,faces\face_1743481295096.jpg,1,-10.2,-172.72
